,name,title,organization,board_years,join_year,description
47,Sissela Bok,writer and philosopher,,"[1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997]",,"Sissela Bok, Senior Visiting Fellow, a writer and philosopher, received her B.A. and M.A. in psychology at the George Washington University in 1957 and 1958, and her Ph.D. in philosophy at Harvard University in 1970. She was formerly a Professor of Philosophy at Brandeis University. The third edition of her book “Lying: Moral Choice in Private and Public Life” (1978) was reissued in 1999 with a new preface. Other books include “Secrets: On the Ethics of Concealment and Revelation” (1982, 1989); “A Strategy for Peace: Human Values and the Threat of War” (1989); “Alva Myrdal: A Daughter’s Memoir” (1991); “Common Values” (1996, reissued in 2002 with a new preface); and “Mayhem: Violence as Public Entertainment” (1998). With John Behnke, Bok has co-edited “The Dilemmas of Euthanasia” (1975) and, with Daniel Callahan, “Ethics Teaching in Higher Education” (1980). With Gerald Dworkin and R. G. Frey, she has co-authored “Euthanasia and Physician-Assisted Suicide” (1998).(courtesy of the Center for Population and Development Studies at the Harvard University T.H. Chan School of Public Health)\*\*\*The election of writer and philosopher Sissela Bok to the Pulitzer Prize Board has been announced by Michael I. Sovern, president of Columbia University.Dr. Bok's election fills a vacancy on the 17-member board created by the departure of Hanna Gray, president of the University of Chicago, who had completed eight years of service.Dr. Bok has written extensively on issues of ethics and morality and is the author of the books ""Lying: Moral Choice in Public and Private Life"" and ""Secrets: On the Ethics of Concealment and Revelation."" She is co-editor of ""The Dilemmas of Euthanasia"" and ""Ethics Teaching in Higher Education."" Her biography of her mother, Alva Myrdal, the 1982 Nobel Peace Prize recipient, published in Sweden in 1987, is being translated into English. (Her father, Gunnar Myrdal, received the Nobel Memorial Prize in Economics in 1974. She holds a Ph.D. in philosophy from Harvard University and B.A. and M.A. degrees in psychology from George Washington University. She is an associate professor in philosophy at Brandeis University and has lectured frequently at Harvard and other universities. She is a member of the editorial boards of a number of professional journals. She is the recipient of several awards for her book ""Lying"" and of honorary doctorates from Mount Holyoke College and George Washington and Clark Universities."
48,Joan Konner,"dean, Graduate School of Journalism",Columbia University,"[1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996]",,"Joan Konner has a B.A. from Sarah Lawrence and received her M.S. from Columbia. She has been a reporter, editorial writer, and columnist for the Bergen (N.J.) Record; a producer, reporter, host and editor, at WNET/Thirteen; a documentary and news producer, writer, director and program director at NBC News; an executive producer for national public affairs programs, and executive producer of ""Bill Moyers’ Journal."" She has also been vice president, director of programming and executive producer for the Metropolitan Division and senior executive producer for national public affairs, WNET/Thirteen. In addition, she was president and executive producer, Public Affairs Television Inc., in partnership with Bill Moyers.She is the former Dean of the Graduate School of Journalism, Columbia University and the publisher, Columbia Journalism Review. Awards include 13 Emmys from the National Academy of Television Arts and Sciences; Peabody Award, 1980); Alfred. I. duPont Award, 1989; three American Bar Association Awards; Outstanding Broadcast Journalism Educator, from the Association for Education in Journalism and Mass Communication, 1996.-- http://www.journalism.columbia.edu/profile/331-joan-konner/"
49,Geneva Overholser,ombudsman,The Washington Post,"[1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998]",,"(Current biography as of March 2016)Geneva Overholser is a senior fellow at the Democracy Fund. She is also a senior fellow at the Center for Communication Leadership and Policy at the USC Annenberg School for Communication and Journalism. She was until 2013 director of the USC Annenberg School of Journalism, and is now an independent journalist in New York City, speaking and writing about the future of journalism. She serves on the boards of the Academy of American Poets, the Rita Allen Foundation and the Women’s Media Center, and on the advisory council of the CUNY Graduate School of Journalism.Previously she held the Curtis B. Hurley Chair in Public Affairs Reporting for the Missouri School of Journalism, where she was based in the school’s Washington bureau. From 1988 to 1995, Overholser was editor of the Des Moines Register, where she led the paper to a Pulitzer Prize for Public Service. While at the Register, she also earned recognition as Editor of the Year by the National Press Foundation and was named “The Best in the Business” by American Journalism Review.In addition, Overholser has been ombudsman of the Washington Post, a member of the editorial board of The New York Times, a syndicated columnist for the Washington Post Writers Group, and a reporter for the Colorado Springs Sun. She has been a columnist for the Columbia Journalism Review and a blogger for Poynter.org. She spent five years overseas, working and writing in Paris and Kinshasa.Through the Annenberg Public Policy Center, in 2006 she published a manifesto on the future of journalism titled “On Behalf of Journalism: A Manifesto for Change.” She is also co-editor, with Kathleen Hall Jamieson, of the volume “The Press,” part of the Oxford University Press Institutions of American Democracy series.Overholser has served on the boards of the Carnegie Endowment, the John S. Knight Fellowships at Stanford, the Committee of Concerned Journalists, the Center for Public Integrity and the National Press Foundation, and on the advisory boards of the Knight Foundation and the Poynter Institute. She was for nine years a member of the Pulitzer Prize Board, the final year as chair, and is a former officer of the American Society of Newspaper Editors. She is a fellow of the Society of Professional Journalists and of the American Academy of Arts and Sciences. She held a Nieman fellowship at Harvard and a Congressional fellowship with the American Political Science Association.She holds a bachelor’s degree in history from Wellesley College, a master’s in journalism from the Medill School of Journalism at Northwestern University and a French language certificate from the Sorbonne. She has honorary doctorates from Grinnell College and St. Andrews Presbyterian College, and alumnae achievement awards from Wellesley, Northwestern and Medill.She is married to David Westphal, also a journalist. They have three children and one grandchild.(Courtesy of Geneva Overholser)"
50,James V. Risser,director,"John S. Knight Fellowships, Stanford University","[1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999]",,"Jim Risser has distinguished himself as an investigative reporter, an environmental reporter and as a leader in efforts to improve the quality of modern journalism.Risser was a reporter for the Des Moines Register for 20 years, and was its Washington bureau chief from 1976 to 1985. During that time he won numerous journalism honors, including two Pulitzer Prizes for National Reporting. His first Pulitzer, in 1976, was awarded for stories exposing corruption in the U.S. grain exporting industry, which led to criminal convictions and reform legislation. His second Pulitzer, in 1979, was awarded for a series of stories showing the destructive impact of modern American agriculture on the environment. His other honors include two Thomas L. Stokes Awards for environmental reporting, the Edward J. Meeman Award for conservation reporting, two Raymond Clapper Awards for Washington reporting, and the American Political Science Association Award for distinguished reporting of public affairs.In 1985, Risser was named director of the John S. Knight Fellowships for Professional Journalists at Stanford University, a mid-career sabbatical program for outstanding print and broadcast journalists from the United States and abroad, a position he held until his retirement in 2000. He had been a Professional Journalism Fellow at Stanford in 1973-74. As a member of the Stanford faculty, Risser also taught in the Department of Communication's graduate journalism program.Risser was a member of the Pulitzer Prize Board from 1990 to 1999. He currently serves on the Journalism Advisory Committee of the John S. and James L. Knight Foundation, on the Steering Committee of the Committee of Concerned Journalists, and is a member of the Gridiron Club of Washington, Investigative Reporters & Editors, and the Society of Environmental Journalists. From 2000-2003 he was a member of the Board of Governors of the Wallace Stegner Initiative, a project of the Institute for Journalism and Natural Resources, and he served as a judge for the Institute's report, ""Matching the Scenery: Journalism's Duty to the American West."" He is a member of the boards of directors of the Oregon Shakespeare Festival and of Jefferson Public Radio, in Ashland, Oregon, and he serves on the Southern Oregon University Advisory Board.In addition to his stories for the Des Moines Register, he has written on environmental issues for several newspapers and magazines, and he continues to write on news media issues for journalism publications. In 2001, he co-authored a study for CNN analyzing television's failures in reporting the results of the 2000 presidential election.Risser is a graduate of the University of Nebraska and the University of San Francisco Law School, and practiced law in his hometown of Lincoln, Nebraska before turning to journalism in 1964. He and his wife, Sandra Risser, live in Ashland, Oregon. They have two sons, David, of Salem, Oregon, and John, of Ashland.- January 2005 "
51,Walter Rugaber,president and publisher,The Roanoke Times,"[1990, 1991, 1992, 1993, 1994, 1995, 1996, 1998, 1999]",,"(Courtesy of Medill/Northwestern)Walter F. Rugaber (BSJ60) was president and publisher of the Roanoke Times & World News, which is now called The Roanoke Times, and also serves as president of Landmark Publishing Group, headquartered in Norfolk, Va.Before going to Roanoke, Rugaber was executive editor of the Greensboro Daily News & Record. He started his journalism career as a reporter for the Atlanta Journal and the Detroit Free Press before joining The New York Times in 1965. He returned to Atlanta as The New York Times southern correspondent in 1967, and in 1969 he moved to that newspaper's Washington bureau."
52,Helen Vendler,Porter University Professor,Harvard University,"[1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999]",,"(Courtesy of the National Endowment for the Humanities)“When you’re in a state of perplexity, sadness, gloom, elation, you look for a poem to match what you are feeling,” says Helen Vendler. She writes that “Poetry is analytic as well as expressive; it distinguishes, reconstructs, and redescribes what it discovers about the inner life. The poet accomplishes the analytic work of poetry chiefly by formal means.”It is Vendler’s skills in unraveling the forms and explaining the heart of a poem that have made her one of the most influential voices in poetry criticism today. “She is like a receiving station picking up on each poem, unscrambling things out of word-waves, making sense of it and making sure of it. She can second-guess the sixth sense of the poem,” says poet Seamus Heaney.Vendler’s influences include a Boston childhood immersed in poetry and hymns, an early interest in chemistry, and a wealth of wonderful teachers. Her own teaching career has spanned forty-four years and she is now the A. Kingsley Porter University Professor at Harvard University, where she received her Ph.D. in English and American literature in 1960. She previously taught at Cornell, Swarthmore, Haverford, Smith, and Boston University. She has held many fellowships, including three NEH fellowships and a Fulbright, and has frequently been a judge for the Pulitzer Prize in poetry. She holds twenty-three honorary degrees from universities and colleges in the United States and abroad.Vendler’s views on contemporary poetry can be read regularly in the pages of The New Republic, The London Review of Books, The New Yorker, and other journals.Her recent books include Coming of Age as a Poet: Milton, Keats, Eliot, Plath; Seamus Heaney; The Art of Shakespeare’s Sonnets; The Breaking of Style: Hopkins, Heaney, Graham; The Given and the Made: Lowell, Berryman, Dove, Graham, and Soul Says: On Recent Poetry. A forthcoming book, Poets Thinking: Pope, Whitman, Dickinson, Yeats, will be published later this year.Vendler lives in Cambridge, Massachusetts, and has one son and two grandchildren."
53,Marilyn Yarbrough,professor of law,University of North Carolina,"[1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999]",,No biography/photo currently available.
54,John Dotson,president and publisher,Daily Camera,[1992],,"John Dotson has been publisher of the Daily Camera in Boulder, Colo., since May 1987. In prior positions, he was director of night operations at the Philadelphia Inquirer, transportation and circulation administration manager of the Philadelphia Daily News, and executive assistant to Philadelphia Newspapers, Inc., President Sam Keel. He also worked in several editorial departments of the Inquirer.John joined PNI in 1983 after 17 years at Newsweek, where he held posts as Los Angeles bureau chief and senior editor/news editor in New York. He also worked at the Newark Evening News and Detroit Free Press.As news editor at Newsweek, John coordinated the magazine's worldwide network of correspondents for seven years. He also handled Newsweek's logistical arrangements for the Republican and Democratic national conventions in 1976 and 1980.He is a member of the board of visitors of the John S. Knight Fellowship Program, which offers working journalists a year's study at Stanford University in California. He also is a director of the Institute for Journalism Education, which runs several training programs for minority journalists, and is a member of the ANPA Minority Opportunity Committee.John also serves on the advisory boards for the schools of journalism at University of Colorado, University of North Carolina and University of Southern California.In Boulder, he is chairman of the Boulder Chamber of Commerce's Economic Futures Panel. He also is a member o the development committee of the San Juan Family Learning Center, and agency devoted to aiding disadvantaged families in Boulder.John is a graduate of Temple University in Philadelphia. He received an honorary doctorate from Temple in 1981.He is married and is the father of five. (June 10 1991)"
55,John S. Driscoll,vice president,The Boston Globe,"[1992, 1993, 1994, 1995]",,"Jack Driscoll was named editor of The Boston Globe in December of 1987.He was Globe executive editor from 1982 to 1987. As a managing editor for several years before that, he was supervisor or reporter in several prize-winning efforts, including involvement in five Pulitzers, Associated Press Managing Editor's Public Service Award, Sigma Delta Chi, the George Polk, Sidney Hillman and Sevellon Brown Awards, New England's top honor. In 1987 Driscoll was awarded the Yankee Quill Award by the New England Chapter Society of Professional Journalists, Sigma Delta Chi. He has been on reporting trips to Europe, the Middle East, the Far East, Africa, the Soviet Union and Latin America.In 1977 he was a member of the national team investigating Arizona corruption after the death of reporter Don Bolles.From 1976 to 1982, Driscoll was managing editor of the Evening Globe, the daily Globe and the Sunday Globe.He is a member of the American Society of Newspaper Editors and the Associated Press ManagingEditors Association, a member of the Board of Directors of the Boston Globe and was elected to the ASNE Board of Directors in 1990. He also is on the Advisory Board of the Nieman Foundation. For 12 years he was an assistant to former editor Thomas Winship. Prior to that he was night editor, a copy desk editor and sportswriter at the Globe. He has previously worked at United Press International, the Manchester (NH) Union Leader and the Haverhill (MA) Journal. His ASNE activities have included: chairman, Writing Awards Committe; member Program and Education Committee; participant in Editor-in-Residence Program since its inception; participant in Soviet-ASNE Exchange Program, contributor to ASNE Bulletin.A graduate of Northeastern University, Driscoll is married and has four daughters. A longtime resident of Melrose, he resides in Topsfield, Massachusetts.(June 10, 1991)"
56,Jack Fuller,president,Tribune Publishing Company,"[1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000]",,"(Courtesy of the Newberry Library)Jack William Fuller was born in Chicago, Illinois, on October 12, 1946. The son of Ernest Fuller, a financial reporter for the Chicago Tribune, and Dorothy Fuller, he followed his father into journalism, beginning as a copyboy at the Chicago Tribune at age 16. He received his BS degree in Journalism from Northwestern University in 1968, and also attended Yale Law School, receiving his JD degree in 1973.Fuller's law studies were interrupted when he was drafted into the United States Army during the Vietnam War. From 1969-1970 he served as a Vietnam correspondent for Pacific Stars and Stripes. During the summer of 1972, Fuller wrote for the Washington Post.From 1973-1975 he worked as a general assignment reporter for the Chicago Tribune, but left the paper to join the U.S. Department of Justice as special assistant to Attorney General Edward Levi. Fuller rejoined the Tribune as Washington correspondent in 1977, and in 1978 returned to Chicago as an editorial writer. He served as Editorial Page Editor from 1981-1987, was appointed Executive Editor in 1987, and Vice President and Editor in 1989. From the late 1980s to the early 1990s, he devoted the bulk of his writing to jazz criticism for the Tribune. Fuller was named Publisher of the newspaper in 1994, and President of the Tribune Publishing Company in 1997. He was named to the board of directors in 2001.Fuller simultaneously pursued a writing career, and published six novels: Convergence, 1982; Fragments, 1984; Mass, 1985; Our Fathers' Shadows, 1987; Legend's End, 1990; and The Best of Jackson Payne, 2000. Fuller also authored the nonfiction News Values: Ideas for an Information Age, published in 1996.Fuller was married to Alyce Tuttle from 1972-2002 and the couple had two children, Timothy and Katherine. Fuller married Debra Moskovits in 2004.In 1986, Fuller won a Pulitzer Prize for his editorial writing on constitutional issues. Though he retired from the Tribune Company in 2004, he continues to write editorials for the paper as well as lecture on various journalistic issues. In 2005 Fuller was named to the Board of Directors of the John D. and Catherine T. MacArthur Foundation, a private, independent grantmaking institution based in Chicago. He also serves as a Trustee of the University of Chicago and the Field Museum."
57,John L. Dotson Jr.,president and publisher,Akron Beacon Journal,"[1993, 1994, 1995, 1996, 1997, 1998, 1999]",,"Prior to joining the Akron Beacon Journal, John Dotson was publisher of the Daily Camera in Boulder, Colo.In prior positions, he was director of night operations at the Philadelphia Inquirer, transportation and circulation administration manager of the Philadelphia Daily News, and executive assistant to Philadelphia Newspapers, Inc., President Sam Keel. He also worked in several editorial departments of the Inquirer.John joined PNI in 1983 after 17 years at Newsweek, where he held posts as Los Angeles bureau chief and senior editor/news editor in New York. He also worked at the Newark Evening News and Detroit Free Press.As news editor at Newsweek, John coordinated the magazine's worldwide network of correspondents for seven years. He also handled Newsweek's logistical arrangements for the Republican and Democratic national conventions in 1976 and 1980.He is a member of the board of visitors of the John S. Knight Fellowship Program, which offers working journalists a year's study at Stanford University in California. He also is a director of the Institute for Journalism Education, which runs several training programs for minority journalists, and is a member of the ANPA Minority Opportunity Committee. John also serves on the advisory boards for the schools of journalism at University of Colorado, University of North Carolina and University of Southern California.In Boulder, he is chairman of the Boulder Chamber of Commerce's Economic Futures Panel. He also is a member o the development committee of the San Juan Family Learning Center, and agency devoted to aiding disadvantaged families in Boulder.John is a graduate of Temple University in Philadelphia. He received an honorary doctorate from Temple in 1981. He is married and is the father of five.(June 10, 1991)"
58,Edward Seaton,editor in chief,Manhattan Mercury,"[1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001]",,"Edward Seaton began his career in journalism as a general assignment reporter and copy editor at The Courier-Journal in Louisville, Kentucky. An honors graduate of Harvard College, he studied on a Fulbright grant in Ecuador and did graduate work in journalism at the University of Missouri. He was made a Knight of the Order of Christopher Columbus by the Dominican Republic for his work for press freedom, and is a recipient of Columbia's Maria Moors Cabot Prize.Past president of both the American Society of Newspaper Editors and the Inter American Press Association, Seaton is president of the ASNE Foundation and serves on IAPA's executive committee. He is a member of the board of the International Center for Journalists, the advisory committee of the Knight International Press Fellowship Program and Columbia's Cabot Awards Board.Seaton was elected to the board in 1992."
59,Seymour Topping,"administrator, The Pulitzer Prizes",Columbia University,"[1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002]",,"Seymour Topping has had a varied career as foreign correspondent, editor, university professor and author.He retired in 2002 as Administrator of the Pulitzer after nine years of service and was appointed San Paolo Professor Emeritus of International Journalism at Columbia University.Prior to Columbia, he was a member of the New York Times for thirty years as chief correspondent in Moscow and Southeast Asia, foreign editor, deputy managing editor and managing editor from 1986 to 1987.After service as an infantry officer in the Pacific during World War II, he covered the Chinese Civil War for The Associated Press, the French Indochinese War, London and Berlin before joining the New York Times in 1959.Born in New York in 1921, he is graduate of the School of Journalism at the University of Missouri.He is the author of Journey Between Two Chinas, (Harper and Row), 1972; The Peking Letter: A Novel of the Chinese Civil War (Public Affairs 1999,) and just completed another historical novel, Fatal Crossing, A Novel of Vietnam 1945 (East Bridge 2004.) He co-authored Report from Red China (Quadrangle Books 1971.)He is married to Audrey Ronning Topping, a photo journalist, whose father, Chester Ronning, served as Canadian ambassador to China, and grandparents were Lutheran missionaries in China.Board member (Administrator) 1993-2001."
60,George Rupp,president,Columbia University,"[1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002]",,"During his nine-year tenure as president of Columbia University, Dr. Rupp focused on enhancing undergraduate education, on strengthening the relationship of the campus to surrounding communities and New York City as a whole, and on increasing the university’s international orientation. At the same time, he completed both a financial restructuring of the university and a $2.84 billion fund-raising campaign that achieved eight successive records in dollars raised.Prior to his time at Columbia, Dr. Rupp served as president of Rice University, where in the course of his eight years applications for admission almost tripled, federal research support more than doubled, and the value of the Rice endowment increased by more than $500 million to $1.25 billion.Before going to Rice, Dr. Rupp was the John Lord O’Brian Professor of Divinity and dean of the Harvard Divinity School. Under his leadership, the curriculum of the school was revised to address more directly the pluralistic character of contemporary religious life. Further developments included new programs in women’s studies and religion, Jewish-Christian relations, and religion and medicine.Born in New Jersey of immigrant parents, Dr. Rupp has studied and conducted research for extended periods in both Europe and Asia. He studied in Germany before he was awarded an A.B. from Princeton University in 1964, a B.D. from Yale Divinity School in 1967, and a Ph.D. from Harvard in 1972. He was Vice Chancellor of the University of Redlands in Redlands, California. Rupp left Redlands to become Dean of Academic Affairs at the University of Wisconsin–Green Bay in 1977, where he remained until 1979. He is an ordained Presbyterian minister.He is the author of numerous articles and five books including:Globalization Challenged: Commitment, Conflict, and Community; Christologies and Cultures: Toward a Typology of Worldviews; Beyond Existentialism and Zen: Religion in a Pluralistic World; and 'Culture Protestantism': German Liberal Theology at the Turn of the 20th Century.George and his wife Nancy are the parents of two adult daughters who are teaching and writing, one with scholarly expertise in East Asia and the other a specialist in African studies, and the grandparents of two girls and three boys."
61,Louis D. Boccardi,president and chief executive officer,Associated Press,"[1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]",,"Louis D. Boccardi, president and chief executive officer of Associated Press, has been elected chair of the Pulitzer Prize Board. His selection was announced by President George Rupp. Columbia University awards the annual prizes on the board's recommendation.Boccardi has been president and chief executive officer of Associated Press, the world's largest news organization, since 1985. Prior to assuming the presidency, he served one year as executive vice president and chief operating officer and 10 years as executive editor in charge of AP's news operations.Born in New York City, Boccardi holds a B.A. degree from Fordham College and a master's degree in journalism from Columbia. He joined the AP as executive assistant to the general news editor in 1967 after eight years with New York newspapers, during which he rose to the position of assistant managing editor of the World-Telegram and Sun and its successor newspaper, The World Journal Tribune. He was appointed AP managing editor in 1969, executive editor in 1973 and vice president in 1975.In 1990 Boccardi was elected a fellow of the Society of Professional Journalists, the highest honor SPJ awards journalists for public service. He has received the William Allen White Foundation Award for Journalistic Merit, the Overseas Press Club Lifetime Achievement Award, and the Columbia University Graduate School of Journalism Award and was elected a Distinguished Service Member of the American Society of Newspaper Editors. Boccardi and the AP were awarded the 2001 John Peter and Anna Catherine Zenger award for Freedom of the Press and the Public's Right to Know.Boccardi is a member of the national advisory board of the Freedom Forum Center for Media Studies, the board of trustees of the Newseum, and the board of visitors of Columbia's Graduate School of Journalism, and is an honorary trustee of the William Allen White Foundation at the University of Kansas.Elected to the Pulitzer Prize Board in 1994, Boccardi succeeds Edward Seaton, editor in chief of The Manhattan (Kan.) Mercury, who has retired from the board after having served as chair. Members of the board serve a maximum of nine years.Columbia University press release published May 08, 2001"
62,John S. Carroll,editor and executive vice president,Los Angeles Times,"[1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]",,"John S. Carroll, 60,  has been editor and executive vice president of the Los Angeles Times since 2000 and vice president of Times Mirror since 1998.Previously, he was editor of The Baltimore Sun and senior vice president of The Baltimore Sun Company for nine years. Prior to that he served as editor, vice president and executive vice president at the Lexington Herald-Leader.The Rhode Island native spent two years in the military after earning a bachelor's degree in English literature from Haverford College. He later studied as a Nieman Fellow at Harvard University and as a Visiting Journalist Fellow at Oxford University, in the late 1980s.His first reporting job was as staff reporter at the Providence Journal-Bulletin in 1963. He went on to become a reporter and later a foreign correspondent at The Baltimore Sun and worked as an editor at the Philadelphia Inquirer in the 1970s.Named Editor of the Year by the National Press Foundation in 1998, Carroll also has a longtime affiliation with the American Society of Newspaper Editors, having served on the organization's board of directors and its Writing Awards Board.Carroll was elected as a Pulitzer Prize Board member in 1994. Carroll has also served as a Pulitzer Prize juror."
63,Sandra Mims Rowe,editor,The Oregonian,"[1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]",,"Sandra Mims Rowe, editor of The Oregonian, the largest daily newspaper in the Northwest, has been elected chair of the Pulitzer Prize Board. She has served as a board member since 1994.Rowe has been editor of The Oregonian since 1993. She previously made her mark in journalism in Virginia where she spent 22 years at The Virginian-Pilot and The Ledger-Star. Rowe rose to executive editor and vice president at the combined papers in 1984, a post she held until 1993. On her watch, the papers won the Pulitzer Prize for general news reporting in 1985. For her work in Virginia, Rowe was inducted into the Virginia Journalism Hall of Fame in 2000.Also, under her leadership, The Oregonian has won three Pulitzer Prizes and been a finalist four additional times. The Oregonian won the prize for explanatory reporting in 1999 and, in 2001, both the feature writing prize and the Gold Medal for Public Service.Rowe has also served in a leadership role for many distinguished journalism organizations. She is a past president of the American Society of Newspaper Editors (ASNE). Currently she chairs the Knight Foundation Journalism Advisory Board, is a board member for the Medill School of Journalism's Board of Visitors at Northwestern University, and is chair of the Board of Visitors for the Knight Fellowships at Stanford University.She is a 1970 graduate of East Carolina University and completed the Management Development Program in 1990 at Harvard's Graduate School of Business.As newly elected chair of the Pulitzer Prize Board, Rowe succeeds John S. Carroll, editor and executive vice president of the Los Angeles Times and vice president of Times Mirror, who will continue to serve as a board member.The 2003 Pulitzer Prizes will be announced on April 7 and presented on May 29 at Columbia University. Columbia awards the Pulitzer Prizes on the board's recommendation. Members of the board serve a maximum of nine years."
64,William Ketter,vice president and assistant to the publisher,The Boston Globe,"[1996, 1997, 1998, 1999, 2000, 2001]",,"1996-1998 editor and vice president, The Patriot Ledger, Quincy, MA. 1999-2000 chairman, journalism department, Boston University. 1996-2001 Pulitzer Prize Board member. No photo currently available."
65,Rena Pederson,editor at large,The Dallas Morning News,"[1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004]",,"Named one of the most powerful women in Texas by Texas Monthly magazine, Rena Pederson has held senior posts at the Dallas Morning News since 1973. As editor at large since 2002, she writes a weekly column for the paper's Sunday Reader section as well as profiles and enterprise feature stories. She previously served as a vice president and editorial page editor, supervising the staff and content of the opinion pages for 16 years. Under her leadership, the editorial team was named a finalist for the 1993 Pulitzer Prize in editorial writing.After completing a bachelor's degree in journalism with honors from the University of Texas at Austin, she went on to graduate from Columbia's Graduate School of Journalism in 1970.Pederson's editorial writing has earned awards from United Press International and the Associated Press Managing Editors association. She has also written two books: What's Next? Women Redefining Their Dreams in the Prime of Life (2001) and most recently, What's Missing? The Faith Factor for Women (2003), which profiles well-known contemporary American women including Laura Bush, Diane Sawyer, Peggy Noonan and Judy Collins.Currently, Pederson chairs the Dallas Committee on Foreign Relations and serves on the boards of the Dallas Historical Society and the Dallas Museum of Natural History, among others. A member of the American Society of Newspaper Editors, she is also a past president of the National Conference of Editorial Writers."
66,William Safire,columnist,The New York Times,"[1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004]",,"William Safire, who won the Pulitzer Prize for commentary in 1978, has been a political columnist for the New York Times since 1973. Readers also know him for his New York Times Magazine column ""On Language"" upon which he has based 13 books. Previously, Safire served as a senior White House speech-writer for President Nixon.The New York City native began his journalism career as a reporter with the New York Herald Tribune, after attending Syracuse University for two years. Safire also spent time as a radio and TV producer as well as a U.S. Army correspondent. In the late 1950s, while serving as a vice president of a New York public relations firm, he was responsible for bringing together then-Vice President Nixon and Soviet Premier Nikita Khrushchev for their Cold-War era ""kitchen debate"" in Moscow.Among Safire's numerous books are four novels: Freedom (1987) about Lincoln and the Civil War, Full Disclosure (1977), Sleeper Spy (1995), and Scandalmonger (2000) about press freedom and vituperation in the post-Revolutionary era. Other works include a political dictionary, a commentary on the Book of Job, and anthologies.Safire also serves as chairman of the Dana Foundation, a philanthropic organization supporting arts education and neuroscience, and serves on the board of trustees of Syracuse University."
67,Andrew Barnes,chairman,Poynter Institute for Media Studies,"[1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005]",,"Andrew Barnes, chairman of the Poynter Institute for Media Studies, and former chairman and CEO of the St. Petersburg Times, is a native of New York City and a graduate of Harvard University where he took his degree in history.He began his professional career on the Providence (R.I.) Journal. After two years in the Army, he joined theWashington Post in 1965. During his eight years at thePost, he rose from reporter to deputy metropolitan editor before taking charge of the Post's education bureau. During 1969-70, he traveled in Europe and Africa on an Alicia Patterson Fellowship studying urban change. In 1973, Barnes joined the St. Petersburg Times as assistant managing editor and metropolitan editor; in February 1976, he was promoted to managing editor. He became editor and president in April, 1984. In 1988 he succeeded Gene Patterson as chief executive of the Times Publishing Company and chairman of The Poynter Institute for Media Studies. He relinquished the titles of Editor and President to Paul Tash in February 2000.He is immediate past-Chairman of the Newspaper Association of America, and past chairman of the American Society of Newspaper Editors Ethics Committee. He was named to the Pulitzer Board in 1996. Barnes is married to the former Molly Otis; they have two sons, a daughter, and three grandchildren."
68,Sandy Padwe,"acting dean, Graduate School of Journalism",Columbia University (ex-officio),[1997],,"Professor Padwe received his B.A. from Penn State. He has worked as a reporter for United Press International and the Newspaper Enterprise Association. He has also published a column for The Philadelphia Inquirer, worked as a reporter and deputy sports editor for Newsday; an editor for Sports Monday; deputy sports editor for The New York Times; senior editor for Sports Illustrated; and a consultant for ESPN. In addition, he has served as associate dean for academic affairs and acting dean of the Columbia Graduate School of Journalism.He is the co-author of ""Secrets of Power Golf"" (1967) and the author of ""Basketball's Hall of Fame"" (1969) and ""Basketball Lingo"" (1971).-- http://www.journalism.columbia.edu/profile/59-sandy-padwe/10Pulitzer Prize Board Member 1997"
